2018-07-03T04:50:13.513Z - info: Pages built
2018-07-03T04:50:13.728Z - info: Site data built
2018-07-03T04:50:13.737Z - info: Generate Site durationMs=145678
2018-07-03T04:50:14.265Z - info: Serving "C:\repos\nus-cs2103\website-base\_site" at http://127.0.0.1:8080
2018-07-03T04:50:14.265Z - info: Press CTRL+C to stop ...
2018-07-03T06:26:43.667Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\project-deliverables.md
2018-07-03T06:26:44.682Z - verbose: Rebuild affected paths: C:\repos\nus-cs2103\website-base\admin\project-deliverables.md
2018-07-03T06:26:44.695Z - info: Rebuilding 4 pages
2018-07-03T06:26:45.938Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\index.md
2018-07-03T06:26:45.938Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week1\index.md
2018-07-03T06:26:46.179Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\common\header.md
2018-07-03T06:26:46.179Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\overview\tutorialSchedule.md
2018-07-03T06:26:46.180Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week1\todo.md
2018-07-03T06:26:46.180Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\appendixE-gitHub.md
2018-07-03T06:26:46.180Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\softwareEngineering\introduction\prosAndCons\text.md
2018-07-03T06:26:46.180Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\_markbind\boilerplates\unit-inElsewhere-asFlat.md
2018-07-03T06:26:46.180Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\softwareEngineering\introduction\path.md
2018-07-03T06:26:46.180Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\common\definitions.md
2018-07-03T06:26:46.180Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\evidence\softwareEngineering.md
2018-07-03T06:26:46.181Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\ides\introduction\what\text.md
2018-07-03T06:26:46.181Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\ides\introduction\path.md
2018-07-03T06:26:46.181Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\intellij\projectSetup\text.md
2018-07-03T06:26:46.181Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\intellij\path.md
2018-07-03T06:26:46.181Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\intellij\codeNavigation\text.md
2018-07-03T06:26:46.181Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\javaTools\collections\text.md
2018-07-03T06:26:46.181Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\javaTools\path.md
2018-07-03T06:26:46.182Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\javaTools\varargs\text.md
2018-07-03T06:26:46.182Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\testing\introduction\what\text.md
2018-07-03T06:26:46.182Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\testing\introduction\path.md
2018-07-03T06:26:46.182Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\testing\testingTypes\regressionTesting\what\text.md
2018-07-03T06:26:46.182Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\testing\testingTypes\regressionTesting\path.md
2018-07-03T06:26:46.182Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\testing\testAutomation\what\text.md
2018-07-03T06:26:46.182Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\testing\testAutomation\path.md
2018-07-03T06:26:46.182Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\testing\testAutomation\testingTextUis\text.md
2018-07-03T06:26:46.183Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\revisionControl\what\text.md
2018-07-03T06:26:46.183Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\revisionControl\path.md
2018-07-03T06:26:46.183Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\revisionControl\repositories\text.md
2018-07-03T06:26:46.183Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\init\text.md
2018-07-03T06:26:46.183Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\path.md
2018-07-03T06:26:46.183Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\revisionControl\savingHistory\text.md
2018-07-03T06:26:46.183Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\commit\text.md
2018-07-03T06:26:46.184Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\gitAndGithub\ignore\text.md
2018-07-03T06:26:46.184Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week2\todo.md
2018-07-03T06:26:46.184Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week1\lecture.md
2018-07-03T06:26:46.184Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\week1\tutorial.md
2018-07-03T06:26:46.184Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\_markbind\footers\footer.md
2018-07-03T06:26:46.220Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\schedule\index.md
2018-07-03T06:26:46.222Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\profilePhoto.md
2018-07-03T06:26:46.222Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\admin\tools.md
2018-07-03T06:26:46.222Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\softwareEngineering\introduction\prosAndCons\exercises.md
2018-07-03T06:26:46.222Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\softwareEngineering\introduction\prosAndCons\q-essay-seVsCivilEngineering.md
2018-07-03T06:26:46.222Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\softwareEngineering\introduction\prosAndCons\q-essay-softwareVsBridges.md
2018-07-03T06:26:46.222Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\softwareEngineering\introduction\prosAndCons\q-essay-codingAsManufacturing.md
2018-07-03T06:26:46.223Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\softwareEngineering\introduction\prosAndCons\q-essay-listProsAndCons.md
2018-07-03T06:26:46.223Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\softwareEngineering\introduction\prosAndCons\q-tick-brooks.md
2018-07-03T06:26:46.223Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\common\popOvers.md
2018-07-03T06:26:46.223Z - info: Reload for file change: C:\repos\nus-cs2103\website-base\book\common\references.md
